k,run_id,random_seed,dataset,inertia,silhouette,calinski_harabasz,inertia/samples,calinski_harabasz/samples,silhouette/samples
4,0,1,train,47030.63055932617,0.2577196656568419,3267.702989795441,5.8292799404221824,0.40502020200736755,3.194343897581084e-05
4,0,1,eval,15200.900906892506,0.25636567347851474,1105.5470705705245,5.786410699235823,0.4208401486754947,9.758876036487047e-05
4,1,2,train,47030.60385004806,0.2577061978570561,3267.7053500706047,5.829276629901842,0.4050204945551072,3.1941769689768976e-05
4,1,2,eval,15201.123159503622,0.2563287208321311,1105.5616277313845,5.786495302437618,0.4208456900385933,9.757469388356722e-05
4,2,3,train,47030.61244251816,0.2577061978570561,3267.7053500706047,5.829277694908052,0.4050204945551072,3.1941769689768976e-05
4,2,3,eval,15201.202011528134,0.2563287208321311,1105.5616277313845,5.786525318434768,0.4208456900385933,9.757469388356722e-05
4,3,4,train,47030.61244251816,0.2577061978570561,3267.705350070604,5.829277694908052,0.4050204945551071,3.1941769689768976e-05
4,3,4,eval,15201.202011528134,0.2563287208321311,1105.5616277313848,5.786525318434768,0.42084569003859335,9.757469388356722e-05
4,4,5,train,47030.60385004806,0.2577061978570561,3267.7053500706043,5.829276629901842,0.40502049455510714,3.1941769689768976e-05
4,4,5,eval,15201.123159503622,0.2563287208321311,1105.5616277313848,5.786495302437618,0.42084569003859335,9.757469388356722e-05
4,5,6,train,47030.64542290835,0.2577196656568419,3267.702989795441,5.829281782710504,0.40502020200736755,3.194343897581084e-05
4,5,6,eval,15200.897138413198,0.25636567347851474,1105.5470705705245,5.786409264717624,0.4208401486754947,9.758876036487047e-05
4,6,7,train,47030.603850048064,0.2577061978570561,3267.7053500706056,5.829276629901843,0.4050204945551073,3.1941769689768976e-05
4,6,7,eval,15201.123159503622,0.2563287208321311,1105.5616277313848,5.786495302437618,0.42084569003859335,9.757469388356722e-05
4,7,8,train,47030.64542290835,0.2577196656568419,3267.702989795441,5.829281782710504,0.40502020200736755,3.194343897581084e-05
4,7,8,eval,15200.897138413198,0.25636567347851474,1105.5470705705245,5.786409264717624,0.4208401486754947,9.758876036487047e-05
4,8,9,train,47030.63055932617,0.2577196656568419,3267.7029897954408,5.8292799404221824,0.4050202020073675,3.194343897581084e-05
4,8,9,eval,15200.900906892508,0.25636567347851474,1105.5470705705245,5.786410699235823,0.4208401486754947,9.758876036487047e-05
4,9,10,train,47030.603850048064,0.2577061978570561,3267.7053500706043,5.829276629901843,0.40502049455510714,3.1941769689768976e-05
4,9,10,eval,15201.123159503622,0.2563287208321311,1105.5616277313848,5.786495302437618,0.42084569003859335,9.757469388356722e-05
4,10,11,train,47030.61244251816,0.2577061978570561,3267.705350070604,5.829277694908052,0.4050204945551071,3.1941769689768976e-05
4,10,11,eval,15201.202011528134,0.2563287208321311,1105.561627731385,5.786525318434768,0.42084569003859346,9.757469388356722e-05
4,11,12,train,47030.60385004806,0.2577061978570561,3267.7053500706043,5.829276629901842,0.40502049455510714,3.1941769689768976e-05
4,11,12,eval,15201.123159503622,0.2563287208321311,1105.561627731385,5.786495302437618,0.42084569003859346,9.757469388356722e-05
4,12,13,train,47224.80487662059,0.26902813347290033,3243.213896988501,5.853347158728383,0.4019848657645638,3.334508347457862e-05
4,12,13,eval,15316.087646285856,0.2665656071010367,1090.6548243659727,5.8302579544293325,0.41517123120135996,0.00010147149109289559
4,13,14,train,47030.64542290835,0.2577196656568419,3267.7029897954408,5.829281782710504,0.4050202020073675,3.194343897581084e-05
4,13,14,eval,15200.897138413198,0.25636567347851474,1105.5470705705243,5.786409264717624,0.4208401486754946,9.758876036487047e-05
4,14,15,train,47030.64542290835,0.2577196656568419,3267.7029897954408,5.829281782710504,0.4050202020073675,3.194343897581084e-05
4,14,15,eval,15200.897138413198,0.25636567347851474,1105.5470705705245,5.786409264717624,0.4208401486754947,9.758876036487047e-05
4,15,16,train,47030.60385004806,0.2577061978570561,3267.705350070604,5.829276629901842,0.4050204945551071,3.1941769689768976e-05
4,15,16,eval,15201.123159503622,0.2563287208321311,1105.561627731385,5.786495302437618,0.42084569003859346,9.757469388356722e-05
4,16,17,train,47030.616148285,0.25772258536776227,3267.703792687742,5.829278154224715,0.40502030152302204,3.194380086362943e-05
4,16,17,eval,15200.893781925144,0.2563287208321311,1105.561627731385,5.786407987028985,0.42084569003859346,9.757469388356722e-05
4,17,18,train,47030.61244251816,0.2577061978570561,3267.705350070604,5.829277694908052,0.4050204945551071,3.1941769689768976e-05
4,17,18,eval,15201.202011528134,0.2563287208321311,1105.561627731385,5.786525318434768,0.42084569003859346,9.757469388356722e-05
4,18,19,train,47030.61244251816,0.2577061978570561,3267.705350070604,5.829277694908052,0.4050204945551071,3.1941769689768976e-05
4,18,19,eval,15201.202011528134,0.2563287208321311,1105.5616277313848,5.786525318434768,0.42084569003859335,9.757469388356722e-05
4,19,20,train,47030.60385004806,0.2577061978570561,3267.7053500706047,5.829276629901842,0.4050204945551072,3.1941769689768976e-05
4,19,20,eval,15201.123159503622,0.2563287208321311,1105.5616277313845,5.786495302437618,0.4208456900385933,9.757469388356722e-05
4,20,21,train,47030.60385004806,0.2577061978570561,3267.705350070604,5.829276629901842,0.4050204945551071,3.1941769689768976e-05
4,20,21,eval,15201.123159503622,0.2563287208321311,1105.5616277313848,5.786495302437618,0.42084569003859335,9.757469388356722e-05
4,21,22,train,47030.63654072051,0.2577196656568419,3267.702989795441,5.829280681794808,0.40502020200736755,3.194343897581084e-05
4,21,22,eval,15200.903704221024,0.25636567347851474,1105.5470705705243,5.786411764073477,0.4208401486754946,9.758876036487047e-05
4,22,23,train,47030.61244251816,0.2577061978570561,3267.7053500706043,5.829277694908052,0.40502049455510714,3.1941769689768976e-05
4,22,23,eval,15201.202011528134,0.2563287208321311,1105.561627731385,5.786525318434768,0.42084569003859346,9.757469388356722e-05
4,23,24,train,47030.626478748854,0.2577061978570561,3267.7053500706047,5.82927943464909,0.4050204945551072,3.1941769689768976e-05
4,23,24,eval,15201.163446216151,0.2563287208321311,1105.5616277313845,5.786510638072383,0.4208456900385933,9.757469388356722e-05
4,24,25,train,47030.644989459346,0.2577132116769108,3267.701008288408,5.829281728986037,0.40501995640659494,3.19426390278769e-05
4,24,25,eval,15200.893508960415,0.25636567347851474,1105.5470705705243,5.786407883121589,0.4208401486754946,9.758876036487047e-05
4,25,26,train,47030.603850048064,0.2577061978570561,3267.705350070604,5.829276629901843,0.4050204945551071,3.1941769689768976e-05
