k,run_id,random_seed,dataset,inertia,ssd_exp,silhouette,calinski_harabasz
10,8,9,train,260.3375151870839,-9.075860425353277,0.16684697862915207,38.12113395962125
9,8,9,train,232.15660325477995,-8.054794388790379,0.11326160882292641,37.22209550345938
5,8,9,train,464.18890939334165,-4.022427344286417,0.11757490700233376,33.81708735388224
6,8,9,train,405.38177157073903,-5.0102733024539186,0.14898096452230875,38.59565555501076
4,8,9,train,585.2367202543384,-3.004093329827308,0.1600418255764421,47.53829968442997
6,8,9,train,397.39645020581634,-5.013703897189597,0.14898096452230875,38.59565555501076
8,8,9,train,341.6322181857046,-7.043059699544514,0.10198628435737209,28.8319922920053
10,8,9,train,220.26525973539177,-9.092079893013244,0.16684697862915207,38.12113395962125
2,8,9,train,578.2044888601782,-1.0022694200539155,0.19801039413896313,41.00460707504744
7,8,9,train,368.43903644463927,-6.031137957116657,0.09610969824117899,29.41440312714843
3,8,9,train,511.2520246079798,-2.00615307480825,0.19915216391724433,59.641505732611314
4,8,9,train,588.4422323883854,-3.0046148424588743,0.1600418255764421,47.53829968442997
6,8,9,train,337.73709068469975,-5.022727670997071,0.14898096452230875,38.59565555501076
3,8,9,train,510.9488568020454,-2.007414307373964,0.19915216391724433,59.641505732611314
9,8,9,train,296.55720591143404,-8.059800395739629,0.11326160882292641,37.22209550345938
8,8,9,train,237.40463800703338,-7.043772536705395,0.10198628435737209,28.8319922920053
4,8,9,train,641.1424413951479,-3.0073459340353184,0.1600418255764421,47.53829968442997
6,8,9,train,361.58408921160134,-5.024136238412962,0.14898096452230875,38.59565555501076
4,8,9,train,417.8024600138697,-3.012774795014366,0.1600418255764421,47.53829968442997
6,8,9,train,379.914714021045,-5.036584743971236,0.14898096452230875,38.59565555501076
7,8,9,train,354.64991431981167,-6.0409018551103975,0.09610969824117899,29.41440312714843
8,8,9,train,370.42203809205444,-7.05422526303545,0.10198628435737209,28.8319922920053
5,9,10,train,482.04991053560246,-4.007651043846489,0.12239949823836437,37.48755184643945
10,9,10,train,257.1997640083068,-9.075690227750338,0.18545709498475688,43.44800875015425
6,9,10,train,364.53824438932565,-5.018145431686478,0.18485858170320257,43.609404229832656
6,9,10,train,399.1782036378642,-5.022032722691757,0.18485858170320257,43.609404229832656
5,9,10,train,393.0713448726394,-4.01474047528717,0.12239949823836437,37.48755184643945
3,9,10,train,697.2700834278353,-2.0024200215046415,0.13714253906366836,32.85646831087799
5,9,10,train,401.27750024147906,-4.01836677089105,0.12239949823836437,37.48755184643945
4,9,10,train,635.2356102133851,-3.000972876547308,0.14230164131167167,34.72601951137168
8,9,10,train,343.2353116755563,-7.032016752912667,0.08658008927711329,33.03197150652794
6,9,10,train,343.4279477766477,-5.031497627222253,0.18485858170320257,43.609404229832656
