k,best_labels,best_centroids,best_cost,silhouette,ch_score,inertia
3,[2 2 2 ... 2 2 2],"[[-2.00810227  0.67456761  0.77020086 -0.60671964  0.21346143  1.14828056
   0.49548028  1.45344682]
 [-0.4531717   1.86294152 -0.87114057 -0.04534862 -0.38599738  1.06638155
  -0.48732922  2.01035896]
 [ 0.09283275 -0.03992081 -0.05160104 -0.09644819  0.45334157  0.3529064
   3.24680233  1.4798051 ]]",76787.81310440494,0.16451249397391945,2462.2944401325867,76787.81310440498
3,[0 2 2 ... 0 0 1],"[[-3.05066143e-01  9.90426462e-02 -5.20449533e-02  9.94782488e-01
   4.09760727e-01  5.89767477e-01  5.32793629e+00  1.87973335e+00]
 [-6.89267244e-01  7.65605787e-04 -1.84302617e-01  1.14367942e+00
   1.01899800e+00  7.71587060e-01  4.18975603e+00  5.38453685e-01]
 [ 1.58316189e-01 -3.34190597e-01  6.76330339e-02  4.89093738e-01
   6.23695818e-01  5.73107961e-01  8.58876843e-01  1.33504601e+00]]",46686.26465448412,0.22566406706018083,4390.718866715659,46686.264654484294
3,[2 1 1 ... 2 2 2],"[[ 5.05755503e-01 -1.10633241e+00  1.56618755e-01  9.96522590e-01
   9.44278124e-01  6.69879988e-01 -2.11897168e-01 -6.65350122e-02]
 [-6.73266720e-01  5.27893551e-01  7.09594142e-05  4.79666584e-01
   6.08053276e-01  7.82464558e-01  1.68472296e+00  1.92321027e+00]
 [ 2.15364582e-01 -5.51491153e-01  3.56929929e-01  6.12703094e-01
   4.11784055e-01  9.41185683e-01  5.66420233e+00  1.69860125e+00]]",48331.43142663867,0.2186253271911939,4211.365493383118,48331.431426638825
3,[1 0 0 ... 2 1 2],"[[-0.28478876  0.39965494  0.03650278  0.35596571  0.39385013  0.59030449
   0.66966361  0.95146953]
 [-1.23338567  0.12858768  1.31372387  0.05165879  0.01923153  0.33001232
   4.57253607  2.2755597 ]
 [ 0.07718756 -0.42233959  0.18791401  0.73605908  1.31301299  0.7050369
   5.31909809  1.12379554]]",47389.8667779099,0.29383909604079067,4257.983066848542,47389.86677790998
3,[1 0 0 ... 1 1 1],"[[-0.20155233 -0.09187205  0.07653105  0.52441353  0.49354369  0.96788547
   0.60183005  1.32016188]
 [ 0.11420819  0.17892748 -0.06840481  0.46231781  0.51854381  0.20290793
   5.71603903  1.80160717]
 [-1.10946326  1.83793189  0.92738012  0.80498694  0.11016166 -0.78179766
   5.98130966  2.6156008 ]]",48785.17494877677,0.29538307614839227,3739.265801101865,48785.17494877652
3,[1 2 2 ... 1 1 1],"[[ 0.4056831  -0.76374751 -1.58539267  0.1434326   0.76565032  0.146143
  -0.28770058  0.96410851]
 [-0.10230887  0.48117432  0.35959643  0.13384656  0.66324089  0.63876181
   5.47321495  1.28848541]
 [-0.27006749 -0.14591218 -0.12060999  0.46453086  0.68805397  0.70471647
   0.85572696  0.86388697]]",49539.658847613966,0.1549159296138592,3734.7083789972753,49539.65884761393
3,[2 2 2 ... 2 2 2],"[[-0.04762079  1.17869357 -0.80348536 -0.35106888  0.87124064  1.78121647
   0.5175895   1.80258893]
 [ 1.55455023 -0.21084886 -1.68590467 -0.12777461  1.30775869 -0.17261316
   7.17479856  2.78270306]
 [-0.25026254 -0.03578741  0.18596223  0.57560682  0.83594372  0.21021237
   2.39934108  0.91005401]]",62522.279473977964,0.17209556740428134,3103.122651474606,62522.279473977906
3,[2 0 0 ... 2 2 0],"[[ 0.15500252 -0.79341029 -0.20328892  0.38642985  0.56240399  0.25053078
   2.48246247  0.70581615]
 [-0.02351862 -0.42171008 -0.10132419  0.30964194  0.50371451  0.44962499
   0.12009848  1.30808366]
 [-0.31365571  0.112978    0.20121885  0.81574466  0.49935308  0.83181084
   6.02874076  1.70889412]]",44693.77263652684,0.2444486313206224,4766.8670964315825,44693.77263652673
3,[0 2 2 ... 0 0 0],"[[-0.18923293  0.13346722  0.02910582  0.4980946   0.50571394  0.55746918
   4.71775982  1.3379863 ]
 [-1.12573881 -0.70044801  0.67705618  1.38534969 -0.0606111  -0.74395708
   8.34390008  1.40507148]
 [ 0.07987042  0.08592406  0.24702341  0.38860121  0.83667861  0.6445242
   0.84252519  1.12303334]]",47291.692083558315,0.28614313484869625,3911.8978101474745,47291.69208355827
3,[2 1 0 ... 2 2 1],"[[-0.10461421 -0.25625755 -0.00651526  0.73867212  0.64833965  0.68890587
   0.54534548  1.03740077]
 [-0.44440112  0.5052997  -0.11810743  0.44854892  0.50491033  0.30362271
   2.94399453  1.33705865]
 [ 0.22670071 -0.09257183 -0.3208942   0.30072685  0.33315109  0.72309904
   5.46628644  1.33586505]]",43914.064318154415,0.2342614461705885,4584.350765271855,43914.064318154415
